gCO2/kwh;Date;Time
152.1389219;01.01.2022;00:00:00
152.7704363;01.01.2022;00:15:00
153.0725287;01.01.2022;00:30:00
153.4893236;01.01.2022;00:45:00
155.0775606;01.01.2022;01:00:00
153.4832275;01.01.2022;01:15:00
153.9320445;01.01.2022;01:30:00
156.1438594;01.01.2022;01:45:00
155.3652973;01.01.2022;02:00:00
156.3844708;01.01.2022;02:15:00
157.4115135;01.01.2022;02:30:00
158.3034136;01.01.2022;02:45:00
159.3421657;01.01.2022;03:00:00
159.8362111;01.01.2022;03:15:00
161.4714993;01.01.2022;03:30:00
161.2559121;01.01.2022;03:45:00
162.5471468;01.01.2022;04:00:00
162.2063457;01.01.2022;04:15:00
164.8607378;01.01.2022;04:30:00
168.2919926;01.01.2022;04:45:00
171.944153;01.01.2022;05:00:00
175.9490935;01.01.2022;05:15:00
180.593385;01.01.2022;05:30:00
181.3704309;01.01.2022;05:45:00
179.3629657;01.01.2022;06:00:00
181.0210707;01.01.2022;06:15:00
180.8348562;01.01.2022;06:30:00
181.4240035;01.01.2022;06:45:00
184.7010963;01.01.2022;07:00:00
187.4074681;01.01.2022;07:15:00
190.5961838;01.01.2022;07:30:00
190.4181649;01.01.2022;07:45:00
195.8209947;01.01.2022;08:00:00
201.2875709;01.01.2022;08:15:00
203.2206559;01.01.2022;08:30:00
204.6536025;01.01.2022;08:45:00
204.8663327;01.01.2022;09:00:00
206.4907345;01.01.2022;09:15:00
209.6787879;01.01.2022;09:30:00
209.7596393;01.01.2022;09:45:00
210.7064216;01.01.2022;10:00:00
212.7366465;01.01.2022;10:15:00
211.8125612;01.01.2022;10:30:00
213.4974252;01.01.2022;10:45:00
214.7242836;01.01.2022;11:00:00
213.6277633;01.01.2022;11:15:00
213.818286;01.01.2022;11:30:00
218.6684395;01.01.2022;11:45:00
220.7080045;01.01.2022;12:00:00
221.7299026;01.01.2022;12:15:00
223.8643954;01.01.2022;12:30:00
223.517113;01.01.2022;12:45:00
219.0198482;01.01.2022;13:00:00
218.9891756;01.01.2022;13:15:00
221.8120748;01.01.2022;13:30:00
224.1343637;01.01.2022;13:45:00
229.0149662;01.01.2022;14:00:00
238.4998696;01.01.2022;14:15:00
249.2292176;01.01.2022;14:30:00
262.0584509;01.01.2022;14:45:00
271.2768556;01.01.2022;15:00:00
281.2856261;01.01.2022;15:15:00
288.9616829;01.01.2022;15:30:00
296.3818457;01.01.2022;15:45:00
300.1068177;01.01.2022;16:00:00
295.4000755;01.01.2022;16:15:00
293.6201605;01.01.2022;16:30:00
292.1178107;01.01.2022;16:45:00
290.5836194;01.01.2022;17:00:00
289.1006291;01.01.2022;17:15:00
285.397033;01.01.2022;17:30:00
282.9949087;01.01.2022;17:45:00
278.7121031;01.01.2022;18:00:00
276.959601;01.01.2022;18:15:00
276.5631657;01.01.2022;18:30:00
274.8625935;01.01.2022;18:45:00
265.7206578;01.01.2022;19:00:00
263.5194192;01.01.2022;19:15:00
258.4815836;01.01.2022;19:30:00
254.4269687;01.01.2022;19:45:00
241.039452;01.01.2022;20:00:00
241.4128824;01.01.2022;20:15:00
238.675968;01.01.2022;20:30:00
234.3810314;01.01.2022;20:45:00
233.8939807;01.01.2022;21:00:00
230.8727165;01.01.2022;21:15:00
226.3585826;01.01.2022;21:30:00
224.0085536;01.01.2022;21:45:00
220.2519778;01.01.2022;22:00:00
221.612124;01.01.2022;22:15:00
