Price;Time
85.87;2022-01-01 00:00:00
37.21;2022-01-01 00:15:00
32.62;2022-01-01 00:30:00
32.27;2022-01-01 00:45:00
51.03;2022-01-01 01:00:00
63.76;2022-01-01 01:15:00
44.84;2022-01-01 01:30:00
39.2;2022-01-01 01:45:00
58.28;2022-01-01 02:00:00
43.46;2022-01-01 02:15:00
42.47;2022-01-01 02:30:00
47.48;2022-01-01 02:45:00
58.96;2022-01-01 03:00:00
42.99;2022-01-01 03:15:00
43.27;2022-01-01 03:30:00
50.5;2022-01-01 03:45:00
7.3;2022-01-01 04:00:00
30.64;2022-01-01 04:15:00
21.47;2022-01-01 04:30:00
35.41;2022-01-01 04:45:00
15.67;2022-01-01 05:00:00
24.15;2022-01-01 05:15:00
43.98;2022-01-01 05:30:00
55.36;2022-01-01 05:45:00
23.58;2022-01-01 06:00:00
42.56;2022-01-01 06:15:00
60.2;2022-01-01 06:30:00
87.49;2022-01-01 06:45:00
22.46;2022-01-01 07:00:00
38.95;2022-01-01 07:15:00
31.68;2022-01-01 07:30:00
60.19;2022-01-01 07:45:00
17.49;2022-01-01 08:00:00
37.23;2022-01-01 08:15:00
40.51;2022-01-01 08:30:00
57.98;2022-01-01 08:45:00
46.62;2022-01-01 09:00:00
46.74;2022-01-01 09:15:00
61.23;2022-01-01 09:30:00
71.33;2022-01-01 09:45:00
57.2;2022-01-01 10:00:00
55.6;2022-01-01 10:15:00
59.39;2022-01-01 10:30:00
81.35;2022-01-01 10:45:00
48.79;2022-01-01 11:00:00
58.3;2022-01-01 11:15:00
58.01;2022-01-01 11:30:00
57.73;2022-01-01 11:45:00
71.85;2022-01-01 12:00:00
64.5;2022-01-01 12:15:00
57.07;2022-01-01 12:30:00
57.84;2022-01-01 12:45:00
44.25;2022-01-01 13:00:00
38.6;2022-01-01 13:15:00
65.02;2022-01-01 13:30:00
67.76;2022-01-01 13:45:00
42.31;2022-01-01 14:00:00
62.06;2022-01-01 14:15:00
83.36;2022-01-01 14:30:00
100.31;2022-01-01 14:45:00
57.25;2022-01-01 15:00:00
66.51;2022-01-01 15:15:00
84.52;2022-01-01 15:30:00
95.44;2022-01-01 15:45:00
73.57;2022-01-01 16:00:00
84.5;2022-01-01 16:15:00
85.41;2022-01-01 16:30:00
98.72;2022-01-01 16:45:00
75.05;2022-01-01 17:00:00
98.16;2022-01-01 17:15:00
101.62;2022-01-01 17:30:00
96.88;2022-01-01 17:45:00
127.03;2022-01-01 18:00:00
92.24;2022-01-01 18:15:00
102.1;2022-01-01 18:30:00
79.11;2022-01-01 18:45:00
140.98;2022-01-01 19:00:00
93.1;2022-01-01 19:15:00
91.67;2022-01-01 19:30:00
66.07;2022-01-01 19:45:00
125.87;2022-01-01 20:00:00
89.96;2022-01-01 20:15:00
76.41;2022-01-01 20:30:00
48.12;2022-01-01 20:45:00
100.5;2022-01-01 21:00:00
74.96;2022-01-01 21:15:00
74.03;2022-01-01 21:30:00
64.77;2022-01-01 21:45:00
100.75;2022-01-01 22:00:00
75.26;2022-01-01 22:15:00
87.21;2022-01-01 22:30:00
38.04;2022-01-01 22:45:00
85.35;2022-01-01 23:00:00
60.38;2022-01-01 23:15:00
56.9;2022-01-01 23:30:00
35.95;2022-01-01 23:45:00
81.1;2022-01-02 00:00:00
