TempTMT [°C],-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
00:00-00:15,"1,7004","1,7005","1,6918","1,6802","1,6655","1,6479","1,6275","1,6041","1,5779","1,5489","1,3379","1,4826","1,4453","1,4054","1,3673","1,3261","1,2818","1,2369","1,1865","1,1331","1,0431","0,9563","0,8705","0,7868","0,7052","0,6256","0,5481","0,4727","0,3992","0,3278","0,2583","0,1922","0,1262","0,0547","0,0060"
00:15-00:30,"1,9286","1,9287","1,9189","1,9057","1,8891","1,8691","1,8459","1,8194","1,7897","1,7568","1,5174","1,6816","1,6393","1,5940","1,5508","1,5040","1,4538","1,4057","1,3484","1,2877","1,1855","1,0868","0,9893","0,8942","0,8014","0,7110","0,6229","0,5372","0,4537","0,3725","0,2936","0,2184","0,1434","0,0547","0,0066"
00:30-00:45,"1,9344","1,9345","1,9247","1,9114","1,8947","1,8748","1,8515","1,8249","1,7951","1,7621","1,5220","1,6867","1,6443","1,5988","1,5555","1,5086","1,4582","1,4099","1,3524","1,2916","1,1890","1,0900","0,9922","0,8968","0,8038","0,7132","0,6248","0,5388","0,4551","0,3737","0,2945","0,2190","0,1439","0,0549","0,0066"
00:45-01:00,"1,9328","1,9329","1,9231","1,9098","1,8932","1,8732","1,8499","1,8234","1,7936","1,7607","1,5207","1,6853","1,6429","1,5975","1,5542","1,5073","1,4570","1,4088","1,3513","1,2905","1,1880","1,0891","0,9914","0,8961","0,8032","0,7126","0,6243","0,5384","0,4547","0,3733","0,2942","0,2189","0,1437","0,0548","0,0066"
01:00-01:15,"1,9316","1,9317","1,9219","1,9086","1,8920","1,8720","1,8488","1,8223","1,7925","1,7596","1,5198","1,6842","1,6419","1,5965","1,5532","1,5064","1,4561","1,4079","1,3505","1,2897","1,1873","1,0885","0,9908","0,8955","0,8027","0,7121","0,6239","0,5380","0,4544","0,3731","0,2940","0,2187","0,1437","0,0548","0,0066"
01:15-01:30,"1,9250","1,9251","1,9153","1,9021","1,8856","1,8657","1,8425","1,8160","1,7864","1,7536","1,5146","1,6785","1,6363","1,5911","1,5479","1,5012","1,4511","1,4031","1,3459","1,2853","1,1833","1,0847","0,9874","0,8925","0,7999","0,7097","0,6218","0,5362","0,4529","0,3718","0,2930","0,2180","0,1432","0,0546","0,0066"
01:30-01:45,"1,9247","1,9248","1,9150","1,9018","1,8852","1,8654","1,8422","1,8158","1,7861","1,7533","1,5144","1,6782","1,6360","1,5908","1,5477","1,5010","1,4509","1,4028","1,3457","1,2851","1,1831","1,0846","0,9873","0,8924","0,7998","0,7096","0,6217","0,5361","0,4528","0,3718","0,2930","0,2179","0,1431","0,0546","0,0066"
01:45-02:00,"1,9305","1,9307","1,9208","1,9076","1,8910","1,8710","1,8478","1,8213","1,7915","1,7586","1,5190","1,6833","1,6410","1,5956","1,5524","1,5056","1,4553","1,4071","1,3497","1,2890","1,1866","1,0879","0,9903","0,8951","0,8022","0,7117","0,6236","0,5377","0,4542","0,3729","0,2939","0,2186","0,1436","0,0548","0,0066"
02:00-02:15,"1,9342","1,9344","1,9245","1,9112","1,8946","1,8746","1,8513","1,8248","1,7950","1,7620","1,5219","1,6865","1,6441","1,5987","1,5553","1,5085","1,4581","1,4098","1,3523","1,2915","1,1889","1,0899","0,9922","0,8968","0,8038","0,7131","0,6248","0,5388","0,4551","0,3736","0,2945","0,2190","0,1439","0,0549","0,0066"
02:15-02:30,"1,9336","1,9338","1,9239","1,9107","1,8940","1,8740","1,8508","1,8242","1,7944","1,7614","1,5214","1,6860","1,6436","1,5982","1,5549","1,5080","1,4576","1,4094","1,3519","1,2911","1,1886","1,0896","0,9919","0,8965","0,8035","0,7129","0,6246","0,5386","0,4549","0,3735","0,2944","0,2189","0,1438","0,0549","0,0066"
