Price;Time
100.06;2022-01-01 00:00:00
67.64;2022-01-01 00:15:00
51.35;2022-01-01 00:30:00
41.36;2022-01-01 00:45:00
76.13;2022-01-01 01:00:00
69.98;2022-01-01 01:15:00
50.39;2022-01-01 01:30:00
38.14;2022-01-01 01:45:00
69.22;2022-01-01 02:00:00
55.67;2022-01-01 02:15:00
50.59;2022-01-01 02:30:00
50.96;2022-01-01 02:45:00
45.97;2022-01-01 03:00:00
48.68;2022-01-01 03:15:00
56.47;2022-01-01 03:30:00
67.68;2022-01-01 03:45:00
34.65;2022-01-01 04:00:00
40.82;2022-01-01 04:15:00
37.33;2022-01-01 04:30:00
53.08;2022-01-01 04:45:00
36.99;2022-01-01 05:00:00
45.34;2022-01-01 05:15:00
50.21;2022-01-01 05:30:00
46.65;2022-01-01 05:45:00
28.21;2022-01-01 06:00:00
41.28;2022-01-01 06:15:00
41.68;2022-01-01 06:30:00
52.39;2022-01-01 06:45:00
23.36;2022-01-01 07:00:00
46.54;2022-01-01 07:15:00
42.75;2022-01-01 07:30:00
65.68;2022-01-01 07:45:00
7.28;2022-01-01 08:00:00
56.08;2022-01-01 08:15:00
50.01;2022-01-01 08:30:00
71.3;2022-01-01 08:45:00
46.2;2022-01-01 09:00:00
64.98;2022-01-01 09:15:00
73.68;2022-01-01 09:30:00
79.53;2022-01-01 09:45:00
65;2022-01-01 10:00:00
66.6;2022-01-01 10:15:00
68.1;2022-01-01 10:30:00
92.41;2022-01-01 10:45:00
57.15;2022-01-01 11:00:00
79.92;2022-01-01 11:15:00
79.91;2022-01-01 11:30:00
92.63;2022-01-01 11:45:00
89.1;2022-01-01 12:00:00
90.91;2022-01-01 12:15:00
98.75;2022-01-01 12:30:00
73.25;2022-01-01 12:45:00
94.15;2022-01-01 13:00:00
78.03;2022-01-01 13:15:00
88.27;2022-01-01 13:30:00
94.76;2022-01-01 13:45:00
82.24;2022-01-01 14:00:00
89.51;2022-01-01 14:15:00
90.14;2022-01-01 14:30:00
114.52;2022-01-01 14:45:00
116.01;2022-01-01 15:00:00
95.12;2022-01-01 15:15:00
109.81;2022-01-01 15:30:00
120.04;2022-01-01 15:45:00
89.48;2022-01-01 16:00:00
116.32;2022-01-01 16:15:00
149.92;2022-01-01 16:30:00
149.98;2022-01-01 16:45:00
130.09;2022-01-01 17:00:00
145.88;2022-01-01 17:15:00
157.93;2022-01-01 17:30:00
145.71;2022-01-01 17:45:00
160.87;2022-01-01 18:00:00
138.05;2022-01-01 18:15:00
146.82;2022-01-01 18:30:00
130;2022-01-01 18:45:00
182.8;2022-01-01 19:00:00
130.09;2022-01-01 19:15:00
134.95;2022-01-01 19:30:00
130;2022-01-01 19:45:00
149.95;2022-01-01 20:00:00
121.03;2022-01-01 20:15:00
122.72;2022-01-01 20:30:00
77.89;2022-01-01 20:45:00
119.99;2022-01-01 21:00:00
97.47;2022-01-01 21:15:00
105.79;2022-01-01 21:30:00
82.59;2022-01-01 21:45:00
104.94;2022-01-01 22:00:00
90.37;2022-01-01 22:15:00
99.76;2022-01-01 22:30:00
66.2;2022-01-01 22:45:00
91.52;2022-01-01 23:00:00
79.12;2022-01-01 23:15:00
84.42;2022-01-01 23:30:00
29.1;2022-01-01 23:45:00
70.69;2022-01-02 00:00:00
40.59;2022-01-02 00:15:00
58.81;2022-01-02 00:30:00
39.9;2022-01-02 00:45:00
66.92;2022-01-02 01:00:00
45.23;2022-01-02 01:15:00
47.34;2022-01-02 01:30:00
30.73;2022-01-02 01:45:00
49.91;2022-01-02 02:00:00
24.19;2022-01-02 02:15:00
10.89;2022-01-02 02:30:00
1.95;2022-01-02 02:45:00
32.09;2022-01-02 03:00:00
23.4;2022-01-02 03:15:00
11.97;2022-01-02 03:30:00
23.34;2022-01-02 03:45:00
12.97;2022-01-02 04:00:00
23.1;2022-01-02 04:15:00
6.04;2022-01-02 04:30:00
26.77;2022-01-02 04:45:00
23.37;2022-01-02 05:00:00
23.32;2022-01-02 05:15:00
11.81;2022-01-02 05:30:00
25.32;2022-01-02 05:45:00
23.38;2022-01-02 06:00:00
25.88;2022-01-02 06:15:00
12.2;2022-01-02 06:30:00
26.7;2022-01-02 06:45:00
22.48;2022-01-02 07:00:00
31.97;2022-01-02 07:15:00
33.59;2022-01-02 07:30:00
49.94;2022-01-02 07:45:00
26.49;2022-01-02 08:00:00
45.29;2022-01-02 08:15:00
35.38;2022-01-02 08:30:00
65.17;2022-01-02 08:45:00
64.23;2022-01-02 09:00:00
78;2022-01-02 09:15:00
46.06;2022-01-02 09:30:00
47.39;2022-01-02 09:45:00
74.99;2022-01-02 10:00:00
69.54;2022-01-02 10:15:00
73.83;2022-01-02 10:30:00
47.38;2022-01-02 10:45:00
72.94;2022-01-02 11:00:00
77.16;2022-01-02 11:15:00
65.08;2022-01-02 11:30:00
47.39;2022-01-02 11:45:00
78.96;2022-01-02 12:00:00
67.42;2022-01-02 12:15:00
63.49;2022-01-02 12:30:00
50.04;2022-01-02 12:45:00
65;2022-01-02 13:00:00
42.04;2022-01-02 13:15:00
46.47;2022-01-02 13:30:00
20.05;2022-01-02 13:45:00
58.91;2022-01-02 14:00:00
29.66;2022-01-02 14:15:00
21.64;2022-01-02 14:30:00
50.4;2022-01-02 14:45:00
23.38;2022-01-02 15:00:00
36.04;2022-01-02 15:15:00
41.56;2022-01-02 15:30:00
32.28;2022-01-02 15:45:00
6.05;2022-01-02 16:00:00
35.1;2022-01-02 16:15:00
23.37;2022-01-02 16:30:00
67.49;2022-01-02 16:45:00
1.99;2022-01-02 17:00:00
20.05;2022-01-02 17:15:00
67.45;2022-01-02 17:30:00
28.5;2022-01-02 17:45:00
55.42;2022-01-02 18:00:00
67.96;2022-01-02 18:15:00
17.68;2022-01-02 18:30:00
24.18;2022-01-02 18:45:00
71.18;2022-01-02 19:00:00
46.05;2022-01-02 19:15:00
47.38;2022-01-02 19:30:00
19.91;2022-01-02 19:45:00
75.92;2022-01-02 20:00:00
38.17;2022-01-02 20:15:00
30.1;2022-01-02 20:30:00
0.02;2022-01-02 20:45:00
25.32;2022-01-02 21:00:00
27.97;2022-01-02 21:15:00
32.29;2022-01-02 21:30:00
29.07;2022-01-02 21:45:00
59.97;2022-01-02 22:00:00
24.69;2022-01-02 22:15:00
27.58;2022-01-02 22:30:00
-0.07;2022-01-02 22:45:00
76.34;2022-01-02 23:00:00
