pv,Time
0,2022-01-01 00:00:00
0,2022-01-01 00:15:00
0,2022-01-01 00:30:00
0,2022-01-01 00:45:00
0,2022-01-01 01:00:00
0,2022-01-01 01:15:00
0,2022-01-01 01:30:00
0,2022-01-01 01:45:00
0,2022-01-01 02:00:00
0,2022-01-01 02:15:00
0,2022-01-01 02:30:00
0,2022-01-01 02:45:00
0,2022-01-01 03:00:00
0,2022-01-01 03:15:00
0,2022-01-01 03:30:00
0,2022-01-01 03:45:00
0,2022-01-01 04:00:00
0,2022-01-01 04:15:00
0,2022-01-01 04:30:00
0,2022-01-01 04:45:00
0,2022-01-01 05:00:00
0,2022-01-01 05:15:00
0,2022-01-01 05:30:00
0,2022-01-01 05:45:00
0,2022-01-01 06:00:00
0,2022-01-01 06:15:00
0,2022-01-01 06:30:00
0,2022-01-01 06:45:00
0,2022-01-01 07:00:00
0,2022-01-01 07:15:00
0,2022-01-01 07:30:00
0,2022-01-01 07:45:00
0,2022-01-01 08:00:00
9,2022-01-01 08:15:00
61,2022-01-01 08:30:00
121,2022-01-01 08:45:00
208,2022-01-01 09:00:00
312,2022-01-01 09:15:00
358,2022-01-01 09:30:00
419,2022-01-01 09:45:00
489,2022-01-01 10:00:00
575,2022-01-01 10:15:00
646,2022-01-01 10:30:00
688,2022-01-01 10:45:00
705,2022-01-01 11:00:00
751,2022-01-01 11:15:00
766,2022-01-01 11:30:00
816,2022-01-01 11:45:00
823,2022-01-01 12:00:00
847,2022-01-01 12:15:00
803,2022-01-01 12:30:00
735,2022-01-01 12:45:00
673,2022-01-01 13:00:00
655,2022-01-01 13:15:00
612,2022-01-01 13:30:00
543,2022-01-01 13:45:00
487,2022-01-01 14:00:00
443,2022-01-01 14:15:00
384,2022-01-01 14:30:00
304,2022-01-01 14:45:00
229,2022-01-01 15:00:00
160,2022-01-01 15:15:00
92,2022-01-01 15:30:00
35,2022-01-01 15:45:00
6,2022-01-01 16:00:00
0,2022-01-01 16:15:00
0,2022-01-01 16:30:00
0,2022-01-01 16:45:00
0,2022-01-01 17:00:00
0,2022-01-01 17:15:00
0,2022-01-01 17:30:00
0,2022-01-01 17:45:00
0,2022-01-01 18:00:00
0,2022-01-01 18:15:00
0,2022-01-01 18:30:00
0,2022-01-01 18:45:00
0,2022-01-01 19:00:00
0,2022-01-01 19:15:00
0,2022-01-01 19:30:00
0,2022-01-01 19:45:00
0,2022-01-01 20:00:00
0,2022-01-01 20:15:00
0,2022-01-01 20:30:00
0,2022-01-01 20:45:00
0,2022-01-01 21:00:00
0,2022-01-01 21:15:00
0,2022-01-01 21:30:00
0,2022-01-01 21:45:00
0,2022-01-01 22:00:00
0,2022-01-01 22:15:00
0,2022-01-01 22:30:00
0,2022-01-01 22:45:00
0,2022-01-01 23:00:00
0,2022-01-01 23:15:00
0,2022-01-01 23:30:00
0,2022-01-01 23:45:00
0,2022-01-02 00:00:00
0,2022-01-02 00:15:00
0,2022-01-02 00:30:00
0,2022-01-02 00:45:00
0,2022-01-02 01:00:00
0,2022-01-02 01:15:00
0,2022-01-02 01:30:00
0,2022-01-02 01:45:00
0,2022-01-02 02:00:00
0,2022-01-02 02:15:00
0,2022-01-02 02:30:00
0,2022-01-02 02:45:00
0,2022-01-02 03:00:00
0,2022-01-02 03:15:00
0,2022-01-02 03:30:00
0,2022-01-02 03:45:00
0,2022-01-02 04:00:00
0,2022-01-02 04:15:00
0,2022-01-02 04:30:00
0,2022-01-02 04:45:00
0,2022-01-02 05:00:00
0,2022-01-02 05:15:00
0,2022-01-02 05:30:00
0,2022-01-02 05:45:00
0,2022-01-02 06:00:00
0,2022-01-02 06:15:00
0,2022-01-02 06:30:00
0,2022-01-02 06:45:00
0,2022-01-02 07:00:00
0,2022-01-02 07:15:00
0,2022-01-02 07:30:00
0,2022-01-02 07:45:00
0,2022-01-02 08:00:00
7,2022-01-02 08:15:00
49,2022-01-02 08:30:00
93,2022-01-02 08:45:00
165,2022-01-02 09:00:00
255,2022-01-02 09:15:00
372,2022-01-02 09:30:00
509,2022-01-02 09:45:00
579,2022-01-02 10:00:00
614,2022-01-02 10:15:00
601,2022-01-02 10:30:00
631,2022-01-02 10:45:00
651,2022-01-02 11:00:00
654,2022-01-02 11:15:00
656,2022-01-02 11:30:00
645,2022-01-02 11:45:00
658,2022-01-02 12:00:00
623,2022-01-02 12:15:00
597,2022-01-02 12:30:00
535,2022-01-02 12:45:00
480,2022-01-02 13:00:00
487,2022-01-02 13:15:00
462,2022-01-02 13:30:00
417,2022-01-02 13:45:00
361,2022-01-02 14:00:00
314,2022-01-02 14:15:00
261,2022-01-02 14:30:00
223,2022-01-02 14:45:00
208,2022-01-02 15:00:00
182,2022-01-02 15:15:00
119,2022-01-02 15:30:00
58,2022-01-02 15:45:00
11,2022-01-02 16:00:00
0,2022-01-02 16:15:00
0,2022-01-02 16:30:00
0,2022-01-02 16:45:00
0,2022-01-02 17:00:00
0,2022-01-02 17:15:00
0,2022-01-02 17:30:00
0,2022-01-02 17:45:00
0,2022-01-02 18:00:00
0,2022-01-02 18:15:00
0,2022-01-02 18:30:00
0,2022-01-02 18:45:00
0,2022-01-02 19:00:00
0,2022-01-02 19:15:00
0,2022-01-02 19:30:00
0,2022-01-02 19:45:00
0,2022-01-02 20:00:00
0,2022-01-02 20:15:00
0,2022-01-02 20:30:00
0,2022-01-02 20:45:00
0,2022-01-02 21:00:00
0,2022-01-02 21:15:00
0,2022-01-02 21:30:00
0,2022-01-02 21:45:00
0,2022-01-02 22:00:00
0,2022-01-02 22:15:00
0,2022-01-02 22:30:00
0,2022-01-02 22:45:00
0,2022-01-02 23:00:00
0,2022-01-02 23:15:00
0,2022-01-02 23:30:00
0,2022-01-02 23:45:00
0,2022-01-03 00:00:00
0,2022-01-03 00:15:00
0,2022-01-03 00:30:00
0,2022-01-03 00:45:00
0,2022-01-03 01:00:00
0,2022-01-03 01:15:00
0,2022-01-03 01:30:00
0,2022-01-03 01:45:00
0,2022-01-03 02:00:00
0,2022-01-03 02:15:00
0,2022-01-03 02:30:00
0,2022-01-03 02:45:00
0,2022-01-03 03:00:00
0,2022-01-03 03:15:00
0,2022-01-03 03:30:00
0,2022-01-03 03:45:00
0,2022-01-03 04:00:00
0,2022-01-03 04:15:00
0,2022-01-03 04:30:00
0,2022-01-03 04:45:00
0,2022-01-03 05:00:00
0,2022-01-03 05:15:00
0,2022-01-03 05:30:00
0,2022-01-03 05:45:00
0,2022-01-03 06:00:00
0,2022-01-03 06:15:00
0,2022-01-03 06:30:00
0,2022-01-03 06:45:00
0,2022-01-03 07:00:00
0,2022-01-03 07:15:00
0,2022-01-03 07:30:00
0,2022-01-03 07:45:00
0,2022-01-03 08:00:00
12,2022-01-03 08:15:00
81,2022-01-03 08:30:00
